U,dU,l,dl
V,V,cm,cm
2.51,0.01,51.3,0.2
2.29,0.01,48.9,0.2
2.12,0.01,47.3,0.2
1.900,0.001,45.1,0.2
1.712,0.001,43.1,0.2
1.493,0.002,41.0,0.2
1.290,0.001,39.0,0.2
1.119,0.001,37.1,0.2
0.872,0.001,34.6,0.2
0.700,0.001,33.0,0.2
0.490,0.002,30.8,0.2
0.358,0.001,29.5,0.2
0.278,0.001,28.6,0.2
