U,dU,l,dl
V,V,cm,cm
2.310,0.010,49.0,0.2
2.16,0.010,47.6,0.2
2.020,0.010,46.0,0.2
1.827,0.001,44.2,0.2
1.705,0.001,42.9,0.2
1.571,0.001,41.5,0.2
1.484,0.001,40.7,0.2
1.276,0.001,38.7,0.2
1.135,0.001,37.3,0.2
0.922,0.001,35.2,0.2
0.782,0.001,33.7,0.2
0.656,0.001,32.4,0.2
0.532,0.001,31.1,0.2
0.380,0.001,29.7,0.2
