U,dU,l,dl
V,V,cm,cm
1.458,0.001,20.3,0.2
1.735,0.002,23.0,0.2
2.020,0.010,25.9,0.2
2.200,0.010,27.7,0.2
2.330,0.010,29.1,0.2
1.377,0.001,19.4,0.2
1.114,0.001,16.7,0.2
0.853,0.001,14.1,0.2
1.826,0.002,24.3,0.2
1.618,0.001,22.1,0.2
1.934,0.001,25.2,0.2
