U,dU,l,dl
V,V,cm,cm
1.430,0.001,20.3,0.2
1.567,0.001,21.7,0.2
1.680,0.001,22.7,0.2
1.795,0.001,24.0,0.2
1.942,0.001,25.3,0.2
2.060,0.010,26.8,0.2
2.170,0.010,27.7,0.2
2.370,0.010,29.4,0.2
2.420,0.010,30.1,0.2
0.995,0.001,16.3,0.2
0.870,0.002,15.0,0.2
