U,dU,l,dl
V,V,cm,cm
1.218,0.001,18.7,0.2
0.792,0.001,14.6,0.2
0.928,0.001,15.5,0.2
1.577,0.001,22.5,0.2
2.060,0.010,27.5,0.2
1.298,0.001,19.8,0.2
1.978,0.001,26.6,0.2
2.410,0.010,30.5,0.2
2.230,0.010,29.1,0.2
0.526,0.001,11.4,0.2
2.460,0.010,31.7,0.2
