U,dU,l,dl
V,V,cm,cm
1.183,0.001,18.7,0.2
1.491,0.001,21.8,0.2
1.867,0.001,25.4,0.2
2.18,0.01,28.8,0.2
2.47,0.01,31.6,0.2
2.38,0.01,30.6,0.2
0.752,0.001,14.2,0.2
0.963,0.001,16.5,0.2
1.284,0.001,19.7,0.2
1.118,0.001,17.9,0.2
