U,dU,l,dl
V,V,cm,cm
1.380,0.001,20.0,0.2
1.620,0.001,22.4,0.2
1.807,0.001,24.4,0.2
1.953,0.002,25.8,0.2
2.100,0.01,27.3,0.2
2.310,0.01,29.3,0.2
2.420,0.01,30.7,0.2
1.225,0.001,18.8,0.2
0.970,0.001,16.2,0.2
0.777,0.001,14.3,0.2
0.580,0.001,12.4,0.2
