U,dU,l,dl
V,V,cm,cm
1.728,0.002,43.1,0.2
2.120,0.01,47.2,0.2
2.490,0.01,50.7,0.2
2.570,0.01,51.3,0.2
1.601,0.001,41.8,0.2
1.999,0.001,45.8,0.2
1.546,0.002,41.3,0.2
1.356,0.001,39.4,0.2
1.145,0.002,37.2,0.2
0.729,0.001,33.1,0.2
0.569,0.001,31.4,0.2
0.397,0.001,29.7,0.2
0.232,0.001,28.0,0.2
0.1307,0.0002,26.9,0.2
