U,dU,l,dl
V,V,cm,cm
0.244,0.002,29.2,0.2
0.204,0.001,28.7,0.2
0.602,0.002,33.0,0.2
0.946,0.001,36.5,0.2
1.240,0.002,39.5,0.2
1.535,0.002,42.4,0.2
1.752,0.002,44.7,0.2
2.100,0.010,47.9,0.2
2.410,0.010,51.0,0.2
2.580,0.010,52.6,0.2
