U,dU,l,dl
V,V,cm,cm
2.540,0.010,51.8,0.2
2.390,0.010,50.4,0.2
2.210,0.010,48.5,0.2
2.090,0.010,47.3,0.2
1.908,0.001,45.5,0.2
1.701,0.001,43.4,0.2
1.488,0.001,41.3,0.2
1.360,0.001,39.9,0.2
1.188,0.001,38.2,0.2
1.108,0.001,37.5,0.2
0.873,0.001,35.0,0.2
0.765,0.001,33.9,0.2
0.535,0.001,31.6,0.2
0.368,0.001,30.0,0.2
0.1753,0.0002,28.1,0.2
