U,dU,l,dl
V,V,cm,cm
2.660,0.010,53.3,0.2
2.470,0.010,51.6,0.2
2.290,0.010,49.7,0.2
2.050,0.010,47.3,0.2
1.790,0.001,44.6,0.2
1.605,0.001,42.7,0.2
1.384,0.001,40.4,0.2
1.175,0.001,38.5,0.2
1.020,0.001,36.9,0.2
0.868,0.001,35.3,0.2
0.663,0.001,33.2,0.2
0.505,0.002,31.7,0.2
0.224,0.001,28.8,0.2
