SetAmplitude_V,SetFrequency_Hz,SetSteepness_ka,MeasFrequency_Hz,Unc_Frequency_Hz,Wavenumber_radm,Unc_Wavenumber_radm,Wavelength_m,MeasSteepness_ak,Unc_MeasSteepness_ak,IncidentAmp_m,Unc_IncidentAmp_m,ReflectedAmp_m,Unc_ReflectedAmp_m,IncidentPhase_rad,ReflectedPhase_rad,ReflectionCoeff,Unc_ReflectionCoeff,NoiseFloor_median_m,Denominator_D,N_gauges
0.416,1.6667,0.03,1.66663888935184,0.00833319444675922,11.2051710872949,0.110268327268316,0.560739792211103,0.000895347775800743,0.00764066130359533,7.99048732790832e-05,0.000681886618579415,0.00111051870066842,0.000679023230921027,-2.76864529057056,-2.81908643985154,13.8980096594323,118.905912648543,0.00119743877770844,0.0446659973051695,6
0.711,1.6667,0.04,1.66663888935184,0.00833319444675922,11.2051710872949,0.110268327268316,0.560739792211103,0.000782326001275561,0.00913322775517142,6.98183004240437e-05,0.000815090143580435,0.0019434354365475,0.00080855319194258,2.59809302205646,-2.72472812236991,27.8356165180759,325.171755720173,0.0011974810133726,0.0446659973051695,6
1.006,1.6667,0.05,1.66663888935184,0.00833319444675922,11.2051710872949,0.110268327268316,0.560739792211103,0.00124548446607999,0.0113945178823287,0.00011115265053759,0.00101689757359224,0.00294357774660755,0.00103940764916755,-0.868492844083988,2.41175367613594,26.4822991837886,242.457891659213,0.00119759947309089,0.0446659973051695,6
1.047,1.25,0.03,1.24997916701388,0.00833319444675922,6.54111766028099,0.075505880415547,0.960567541130223,0.00475652299365178,0.00409889506331546,0.00072717282285478,0.000626579052753261,0.0012890504236821,0.000624493369315996,2.36768052161059,-0.183188503002891,1.77268784416539,1.75233337204472,0.00119754497515521,0.451978300944862,6
1.301,1.6667,0.06,1.66663888935184,0.00833319444675922,11.2051710872949,0.110268327268316,0.560739792211103,0.00188019843127528,0.013040231139039,0.000167797387173068,0.0011637678631328,0.00360306199443477,0.00115616601453741,1.69040804002352,-2.84436941523826,21.4726942721613,149.084342551985,0.00119766737413388,0.0446659973051695,6
1.552,1.25,0.04,1.24997916701388,0.00833319444675922,6.54111766028099,0.075505880415547,0.960567541130223,0.0067552366026566,0.00444833123609629,0.00103273430528177,0.000679952258447286,0.00207514908571559,0.000674629840522684,2.29118359117903,-0.266808639132328,2.00937363569947,1.47546078093222,0.00119783004627297,0.451978300944862,6
1.596,1.6667,0.07,1.66663888935184,0.00833319444675922,11.2051710872949,0.110268327268316,0.560739792211103,0.00230474269520333,0.0158386797602504,0.000205685631861221,0.00141351376054891,0.00470478998085957,0.00146834066110763,-0.314333858419141,2.47526759727568,22.8736929181031,157.354716011363,0.00119780095648835,0.0446659973051695,6
1.698,1,0.03,0.999983333611106,0.00833319444675922,4.57630323557831,0.0563303792756927,1.37298272945096,0.00804968038205095,0.00317428733071023,0.00175899191283239,0.000693297698429575,0.00250324640427253,0.000692914989185623,-2.87610709712428,1.14839363009208,1.4231142201454,0.685421315378874,0.00119777037097959,1.48931802090825,6
1.891,1.6667,0.08,1.66663888935184,0.00833319444675922,11.2051710872949,0.110268327268316,0.560739792211103,0.00226693703073473,0.0174730011115802,0.00020231168387113,0.00155936814656989,0.00532381280300785,0.00158014567195921,1.65995901521412,-2.75173316585251,26.3149053042287,202.979071097865,0.00119790096688078,0.0446659973051695,6
2.057,1.25,0.05,1.24997916701388,0.00833319444675922,6.54111766028099,0.075505880415547,0.960567541130223,0.00840423900927282,0.00492156697448786,0.00128483226349911,0.000752258405699017,0.00290809204438385,0.000743790835021569,2.28105429345217,-0.254326096400826,2.26340210080338,1.44612891833279,0.0011984203611004,0.451978300944862,6
2.325,0.8333,0.03,0.833319444675922,0.00833319444675922,3.54889972983707,0.0468907622018412,1.77046008213595,0.00529070958287251,0.00210240144087881,0.0014908027799127,0.000592081802904667,0.00173296158714175,0.000593796009807616,-0.853350403990021,1.59014520133811,1.1624351728424,0.609742291228841,0.00119784593316243,1.77307662190212,6
