T_s,f_Hz,omega_rad_s,k_rad_m,lambda_m,kh,ka,a_m,H_m,V_set_V,Flags
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.03,0.00267724746948351,0.00535449493896702,0.415951789719506,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.04,0.00356966329264468,0.00713932658528936,0.710890596971714,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.05,0.00446207911580585,0.0089241582316117,1.00582940422392,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.06,0.00535449493896702,0.010708989877934,1.30076821147613,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.07,0.00624691076212819,0.0124938215242564,1.59570701872834,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.08,0.00713932658528936,0.0142786531705787,1.89064582598054,
0.6,1.66666666666667,10.471975511966,11.2055386519004,0.560721398798084,3.36166159557012,0.1,0.0089241582316117,0.0178483164632234,2.48052344048496,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.03,0.00458623981827838,0.00917247963655677,1.04686387329589,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.04,0.00611498642437118,0.0122299728487424,1.5521067084069,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.05,0.00764373303046397,0.0152874660609279,2.0573495435179,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.06,0.00917247963655677,0.0183449592731135,2.5625923786289,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.07,0.0107012262426496,0.0214024524852991,3.06783521373991,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.08,0.0122299728487424,0.0244599456974847,3.57307804885091,
0.8,1.25,7.85398163397448,6.54130642720328,0.96053982138029,1.96239192816098,0.1,0.0152874660609279,0.0305749321218559,4.58356371907291,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.03,0.00655534826213533,0.0131106965242707,1.69764401491664,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.04,0.00874046434951377,0.0174809286990275,2.41981356390122,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.05,0.0109255804368922,0.0218511608737844,3.1419831128858,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.06,0.0131106965242707,0.0262213930485413,3.86415266187039,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.07,0.0152958126116491,0.0305916252232982,4.58632221085497,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.08,0.0174809286990275,0.0349618573980551,5.30849175983955,
1,1,6.28318530717959,4.576415897426,1.3729489294698,1.3729247692278,0.1,0.0218511608737844,0.0437023217475689,6.75283085780872,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.03,0.00845313805842669,0.0169062761168534,2.32485371291467,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.04,0.0112708507445689,0.0225417014891379,3.25609316123193,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.05,0.0140885634307112,0.0281771268614223,4.18733260954919,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.06,0.0169062761168534,0.0338125522337068,5.11857205786646,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.07,0.0197239888029956,0.0394479776059913,6.04981150618372,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.08,0.0225417014891379,0.0450834029782757,6.98105095450098,
1.2,0.833333333333333,5.23598775598299,3.54897788166299,1.77042109494224,1.0646933644989,0.1,0.0281771268614223,0.0563542537228446,8.84352985113551,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.03,0.0102852276060776,0.0205704552121553,2.93034981903405,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.04,0.0137136368081035,0.0274272736162071,4.06342130272444,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.05,0.0171420460101294,0.0342840920202588,5.19649278641482,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.06,0.0205704552121553,0.0411409104243106,6.32956427010521,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.07,0.0239988644141812,0.0479977288283624,7.4626357537956,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.08,0.0274272736162071,0.0548545472324141,8.59570723748599,
1.4,0.714285714285714,4.48798950512828,2.91680467841788,2.15413303251683,0.875041403525364,0.1,0.0342840920202588,0.0685681840405176,10.8618502048668,V>10V
