Measurement,Filename,Mode,Date_DDMMYY,SensorID,Channel,SensorLocation_m,SetAmplitude_V,SetFrequency_Hz,MeasuredFrequency_FFT_Hz,MeasuredAmplitude_m,UncertaintyAmplitude_m,UncertaintyFrequency_Hz,Cam_Amplitude_PT_m,Cam_Uncertainty_PT_m,Cam_Amplitude_Envelope_m,Cam_Uncertainty_Envelope_m,Cam_DriftRatio,ReferenceAmplitude_m,NormalisedAmplitude,Final_amp_error_m,Final_freq_error_Hz
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a0p416_f1p67.csv,HIGH,130526,5,1,7.8,0.416,1.67,1.67141663273834,0.000318934745269414,6.70642928788076e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00104874290264806,0.304111469516607,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a0p71_f1p67.csv,HIGH,130526,5,1,7.8,0.71,1.67,1.66427382661552,0.000594040034969684,4.7926184425795e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00190753952831962,0.311416893936129,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a10_f0p71.csv,HIGH,130526,5,1,7.8,10,0.71,0.714280612281341,0.00416272952443224,1.47388803534615e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a10_f1p67.csv,HIGH,130526,5,1,7.8,10,1.67,1.66427382661552,0.0146048398324989,0.000155838556448804,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a1p006_f1p67.csv,HIGH,130526,5,1,7.8,1.006,1.67,1.66427382661552,0.000948331991383614,1.85463941661077e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00321778418712779,0.294715846754813,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a1p04_f1p25.csv,HIGH,130526,5,1,7.8,1.04,1.25,1.24999107149235,0.00452065197854645,9.49752258138776e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.000735005087489341,6.15050433730774,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a1p3_f1p67.csv,HIGH,130526,5,1,7.8,1.3,1.67,1.67141663273834,0.00142400983901369,1.22285836595612e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00365892777186888,0.38918774236594,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a1p55_f1p25.csv,HIGH,130526,5,1,7.8,1.55,1.25,1.24999107149235,0.00723422322470047,3.69590212141811e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00134273189634076,5.38769001050419,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a1p59_f1p67.csv,HIGH,130526,5,1,7.8,1.59,1.67,1.66427382661552,0.00269334726458939,1.88478847611298e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00510170408702193,0.527930906741712,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a1p69_f1.csv,HIGH,130526,5,1,7.8,1.69,1,0.999992857193877,0.00208062962403695,7.25386245741708e-06,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00348855821657256,0.596415336901308,0.000711785603850928,0.0150292464797731
