Sensor_Location_m,Sensor_Number,Slope_m_per_V,Slope_SE_m_per_V,Intercept_m,Intercept_SE_m,R2,RMSE_m,Mode,N_points_used
1,1,0.00302576602745277,5.29774349609994e-05,0.00141867467509205,0.000263026429015995,0.997553544209579,0.000351412548242183,HIGH,10
3,2,0.00156626801681437,1.01191852444481e-05,-0.000235029003037204,5.02405063846137e-05,0.99966618647985,6.71230812798705e-05,HIGH,10
4.6,3,0.00198784260205394,5.72454402734566e-05,-0.000930878582557478,0.00028421654886954,0.993409232508418,0.000379723292691511,HIGH,10
6.2,4,0.00304280128106168,4.28829102228863e-05,0.00122745064818208,0.00021290835900309,0.998413566830878,0.00028445304625562,HIGH,10
7.8,5,0.00164478463683362,1.0190606253323e-05,-0.000166513927652973,5.05951028828193e-05,0.999692999841585,6.75968346570439e-05,HIGH,10
9.4,6,0.00289079054903036,4.7844029127434e-05,0.001742086141063,0.000237539702335352,0.99781343911014,0.000317361386149067,HIGH,10
