t_s,eta_m
0,-0.00912619330787596
0.0166833333333333,-0.010717123266787
0.0333666666666667,-0.0119103207359704
0.05005,-0.0132360957017296
0.0667333333333333,-0.014296715674337
0.0834166666666667,-0.0152247581503684
0.1001,-0.016020223129824
0.116783333333333,-0.0168156881092795
0.133466666666667,-0.0173459980955832
0.15015,-0.017743730585311
0.166833333333333,-0.0181414630750388
0.183516666666667,-0.0182740405716147
0.2002,-0.0182740405716147
0.216883333333333,-0.0181414630750388
0.233566666666667,-0.0162853781229758
0.25025,-0.0174785755921591
0.266933333333333,-0.0169482656058554
0.283616666666667,-0.0161528006263999
0.3003,-0.0152247581503684
0.316983333333333,-0.0141641381777611
0.333666666666667,-0.0128383632120018
0.35035,-0.0113800107496667
0.367033333333333,-0.0099216582873315
0.383716666666667,-0.0081981508318445
0.4004,-0.00620948838320565
0.417083333333333,-0.00422082593456679
0.433766666666667,-0.00196700849277609
0.45045,2.1653955862758e-05
0.467133333333333,0.00360124636341269
0.483816666666667,0.00519217632232377
0.5005,0.00810888124699409
0.517183333333333,0.0103626986887848
0.533866666666667,0.0123513611374236
0.55055,0.013411981110031
0.567233333333333,0.0142074460894866
0.583916666666667,0.0155332210552458
0.6006,0.016858996021005
0.617283333333333,0.0179196159936124
0.633966666666667,0.0189802359662198
0.65065,0.0197757009456754
0.667333333333333,0.0201734334354031
0.684016666666667,0.0201734334354031
0.7007,0.0201734334354031
0.717383333333333,0.0201734334354031
0.734066666666667,0.0200408559388272
0.75075,0.0199082784422513
0.767433333333333,0.0189802359662198
0.784116666666667,0.0177870384970365
0.8008,0.0163286860347013
0.817483333333333,0.0144726010826384
0.834166666666667,0.0124839386339996
0.85085,0.0103626986887848
0.867533333333333,0.00824145874357001
0.884216666666667,0.00625279629493116
0.9009,0.00399897885314046
0.917583333333333,-0.000773811023592783
0.934266666666667,-0.00262989597565571
0.95095,-0.00475113592087049
0.967633333333333,-0.00673979836950934
0.984316666666667,-0.00846330582499634
1.001,-0.0101868132804834
1.01768333333333,-0.0117777432393944
1.03436666666667,-0.0129709407085777
1.05105,-0.0141641381777611
1.06773333333333,-0.0152247581503684
1.08441666666667,-0.016020223129824
1.1011,-0.0168156881092795
1.11778333333333,-0.0174785755921591
1.13446666666667,-0.0178763080818869
1.15115,-0.0182740405716147
1.16783333333333,-0.0185391955647665
1.18451666666667,-0.0185391955647665
1.2012,-0.0169482656058554
1.21788333333333,-0.0168156881092795
1.23456666666667,-0.0164179556195518
1.25125,-0.0158876456332481
1.26793333333333,-0.0168156881092795
1.28461666666667,-0.016020223129824
1.3013,-0.0149596031572166
1.31798333333333,-0.0137664056880333
1.33466666666667,-0.0124406307222741
1.35135,-0.010849700763363
1.36803333333333,-0.00925877080445189
1.38471666666667,-0.00727010835581303
1.4014,-0.00528144590717418
1.41808333333333,-0.00209958598935202
1.43476666666667,-0.00103896601674463
1.45145,0.00227547139765346
1.46813333333333,0.00466186633602008
1.48481666666667,0.00718083877096263
1.5015,0.00903692372302555
1.51818333333333,0.0114233186613922
1.53486666666667,0.0132794036134551
1.55155,0.0138097135997588
1.56823333333333,0.015135488565518
1.58491666666667,0.0167264185244291
1.6016,0.0179196159936124
1.61828333333333,0.0189802359662198
1.63496666666667,0.0199082784422513
1.65165,0.0205711659251309
1.66833333333333,0.0205711659251309
1.68501666666667,0.0203060109319791
1.7017,0.020438588428555
1.71838333333333,0.020438588428555
1.73506666666667,0.0203060109319791
1.75175,0.0201734334354031
1.76843333333333,0.0191128134627957
1.78511666666667,0.0177870384970365
1.8018,0.0161961085381254
1.81848333333333,0.0143400235860625
1.83516666666667,0.0122187836408477
1.85185,0.00996496619905702
1.86853333333333,0.00784372625384224
1.88521666666667,0.00572248630862747
1.9019,0.00346866886683677
1.91858333333333,-0.00130412100989648
1.93526666666667,-0.00342536095511125
1.95195,-0.00541402340375011
1.96863333333333,-0.00753526334896488
1.98531666666667,-0.00925877080445189
2.002,-0.010849700763363
2.01868333333333,-0.0124406307222741
2.03536666666667,-0.0137664056880333
2.05205,-0.0149596031572166
2.06873333333333,-0.016020223129824
2.08541666666667,-0.0168156881092795
2.1021,-0.0176111530887351
2.11878333333333,-0.0182740405716147
2.13546666666667,-0.0188043505579184
2.15215,-0.0192020830476461
2.16883333333333,-0.0193346605442221
2.18551666666667,-0.019467238040798
2.2022,-0.0178763080818869
2.21888333333333,-0.0192020830476461
2.23556666666667,-0.0189369280544943
2.25225,-0.0184066180681906
2.26893333333333,-0.017743730585311
2.28561666666667,-0.0169482656058554
2.3023,-0.0158876456332481
2.31898333333333,-0.0145618706674888
2.33566666666667,-0.0132360957017296
2.35235,-0.0116451657428185
2.36903333333333,-0.00978908079075558
2.38571666666667,-0.00793299583869265
2.4024,-0.00581175589347788
2.41908333333333,-0.00262989597565571
2.43576666666667,-0.000110923540713166
2.45245,0.00240804889422938
2.46913333333333,0.00452928883944416
2.48581666666667,0.0070482612743867
2.5025,0.00916950121960148
2.51918333333333,0.011688473654544
2.53586666666667,0.013411981110031
2.55255,0.0142074460894866
2.56923333333333,0.0156657985518217
2.58591666666667,0.0172567285107328
2.6026,0.018715080973068
2.61928333333333,0.0197757009456754
2.63596666666667,0.0208363209182827
2.65265,0.0213666309045864
2.66933333333333,0.0214992084011624
2.68601666666667,0.0212340534080105
2.7027,0.0211014759114346
2.71938333333333,0.0211014759114346
2.73606666666667,0.0209688984148587
2.75275,0.0209688984148587
2.76943333333333,0.0199082784422513
2.78611666666667,0.018582503476492
2.8028,0.016991573517581
2.81948333333333,0.0142074460894866
2.83616666666667,0.0130142486203033
2.85285,0.0104952761853607
